badge_id,access_group,assigned_by,assigned_on
BG-2401,ENG_MAIN,SECOPS_ADMIN,2025-11-03
BG-2401,DATA_CENTER,SECOPS_ADMIN,2025-11-03
BG-2402,ALL_ACCESS,SECOPS_ADMIN,2025-08-14
BG-2403,SECURITY_OPS,SECOPS_ADMIN,2025-05-21
BG-2404,ENG_MAIN,HELPDESK_OPS,2026-01-07
BG-9999,ENG_MAIN,HELPDESK_OPS,2026-01-09
BG-2410,SECOPS_ADMIN,SECOPS_ADMIN,2025-10-12
BG-2415,DATA_CENTER,SECOPS_ADMIN,2025-09-18
BG-2422,HELPDESK_OPS,SECOPS_ADMIN,2025-12-20
BG-2427,ENG_MAIN,HELPDESK_OPS,2026-01-05
BG-2418,LEGAL_MAIN,SECOPS_ADMIN,2025-06-11
BG-2424,EHS_MAIN,HELPDESK_OPS,2025-07-02
BG-2413,ENG_MAIN,HELPDESK_OPS,2026-01-10
